楼栋,设备编号,设备类别,缺陷类型,严重等级,缺陷描述,巡检时间,巡检员,具体位置
1号楼,EL-001,elevator,门机故障,critical,电梯1楼门机开关异响,2025-06-15 08:30:00,张三,1单元1楼
1号楼,EL-001,elevator,门机故障,critical,电梯门机异响反复出现,2025-06-15 14:20:00,李四,1单元1楼
1号楼,EL-002,elevator,按钮失灵,medium,3楼电梯按钮无响应,2025-06-15 09:15:00,王五,2单元3楼
2号楼,FA-001,fire_alarm,探测器故障,high,烟感探测器报警异常,2025-06-15 10:00:00,赵六,B1层机房
2号楼,FA-001,fire_alarm,探测器故障,high,同一探测器再次报警,2025-06-16 09:00:00,赵六,B1层机房
1号楼,HV-001,hvac,风机异响,low,地下车库风机运行有异响,2025-06-15 11:30:00,张三,B2层车库
3号楼,LT-001,lighting,灯具损坏,low,走廊灯不亮,2025-06-15 13:45:00,李四,5楼走廊
3号楼,LT-001,lighting,灯具损坏,low,走廊灯已更换但又坏了,2025-06-17 10:00:00,王五,5楼走廊
1号楼,PL-001,plumbing,管道漏水,high,消防管道接口渗水,2025-06-15 15:00:00,赵六,楼顶水箱间
2号楼,EL-003,elevator,光幕故障,medium,电梯光幕感应不灵敏,2025-06-15 16:20:00,张三,3单元2楼
1号楼,EL-001,elevator,轿厢异响,low,电梯轿厢运行时抖动,2025-06-16 08:00:00,李四,1单元
2号楼,FA-002,fire_alarm,手报按钮损坏,medium,手报按钮玻璃破裂,2025-06-16 11:00:00,王五,1楼大厅
3号楼,HV-002,hvac,滤网堵塞,low,空调滤网积尘严重,2025-06-16 14:30:00,赵六,机房
1号楼,LT-002,lighting,开关故障,low,楼梯灯开关接触不良,2025-06-16 16:00:00,张三,3楼楼梯间
2号楼,PL-002,plumbing,排水堵塞,high,卫生间排水慢,2025-06-17 09:00:00,李四,2楼男卫
